City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,43.41,100,75,5.01,CA,2023-10-04 10:37:56
1,nogliki,51.8333,143.1667,51.35,64,92,3.0,RU,2023-10-04 10:37:56
2,lensk,60.7253,114.9278,36.72,94,100,8.99,RU,2023-10-04 10:37:57
3,zaghouan,36.4029,10.1429,82.26,30,0,1.19,TN,2023-10-04 10:37:57
4,weno,7.4515,151.8468,82.35,74,40,0.0,FM,2023-10-04 10:37:57
5,margaret river,-33.95,115.0667,56.61,81,33,7.36,AU,2023-10-04 10:37:57
6,tiksi,71.6872,128.8694,24.67,89,100,5.88,RU,2023-10-04 10:37:57
7,ende,-8.8432,121.6623,78.15,88,15,2.46,ID,2023-10-04 10:37:58
8,ushuaia,-54.8,-68.3,49.66,97,100,8.01,AR,2023-10-04 10:37:58
9,khorixas,-20.3667,14.9667,99.32,11,44,9.89,NA,2023-10-04 10:37:58
10,adamstown,-25.066,-130.1015,68.23,77,100,19.3,PN,2023-10-04 10:37:58
11,valparaiso,-33.0393,-71.6273,46.04,87,0,4.61,CL,2023-10-04 10:37:59
12,arkalyk,50.2486,66.9114,59.58,29,94,5.03,KZ,2023-10-04 10:37:59
13,bulanash,57.2783,61.9965,58.95,58,77,7.99,RU,2023-10-04 10:37:59
14,port-aux-francais,-49.35,70.2167,38.53,81,99,34.36,TF,2023-10-04 10:35:25
15,mountain home,43.133,-115.6912,47.68,99,0,14.97,US,2023-10-04 10:33:40
16,ascension,30.2169,-90.9001,72.0,96,100,0.0,US,2023-10-04 10:38:00
17,moyale,3.5167,39.0584,78.28,52,97,13.06,KE,2023-10-04 10:38:00
18,mocorito,25.4833,-107.9167,76.21,82,43,2.46,MX,2023-10-04 10:38:00
19,naifaru,5.4444,73.3657,80.53,81,100,17.47,MV,2023-10-04 10:38:00
20,susuman,62.7833,148.1667,29.98,73,81,3.0,RU,2023-10-04 10:38:01
21,ulaangom,49.9811,92.0667,46.36,71,100,6.73,MN,2023-10-04 10:38:01
22,puerto natales,-51.7236,-72.4875,41.74,89,100,10.29,CL,2023-10-04 10:38:01
23,kapa'a,22.0752,-159.319,73.38,87,0,4.61,US,2023-10-04 10:38:01
24,edinburgh of the seven seas,-37.0676,-12.3116,50.52,72,96,12.12,SH,2023-10-04 10:38:01
25,shimoda,34.6667,138.95,65.1,88,100,11.1,JP,2023-10-04 10:38:02
26,puerto ayora,-0.7393,-90.3518,71.55,100,80,5.99,EC,2023-10-04 10:38:02
27,punta arenas,-53.15,-70.9167,44.71,70,0,39.12,CL,2023-10-04 10:38:02
28,iqaluit,63.7506,-68.5145,26.33,86,20,2.3,CA,2023-10-04 10:38:02
29,st. john's,47.5649,-52.7093,46.98,79,75,18.99,CA,2023-10-04 10:38:02
30,hermanus,-34.4187,19.2345,70.9,63,99,1.43,ZA,2023-10-04 10:38:03
31,princeton,25.5384,-80.4089,81.0,90,0,8.05,US,2023-10-04 10:36:57
32,flying fish cove,-10.4217,105.6791,76.68,83,100,10.36,CX,2023-10-04 10:38:03
33,ilulissat,69.2167,-51.1,26.62,59,40,13.8,GL,2023-10-04 10:38:03
34,tsiombe,-25.3,45.4833,91.51,18,0,10.16,MG,2023-10-04 10:38:03
